Region;Appellation;Domaine;Nom;Millesime;Quantite;Flacon;Meuble;Position;Couleur;Type;Cepage;Mets et vins;Note;A consommer avant;Fournisseur;Commentaires
Loire;Mareuil;;;2004;1;75cl;C;15;Rouge;Tranquille;;;3;;;
Rhone;Cotes du Rhone;Pousse Cailloux;;2016;1;75cl;C;2;Rouge;Tranquille;;;3;;Didier ?;
Rhone;Cotes du Rhone;Marguerite;;2001;2;75cl;C;2;Rouge;Tranquille;;Vin de cuisson cuisine;3;;;
Rhone;Cotes du Rhone;;;vieilles;7;75cl;C;1;Rouge;Tranquille;;Vin de cuisson cuisine;2;;;
Provence;Cotes de Provence;La Rose des vents;;2020;3;75cl;D;9;Rose;Tranquille;;;3;2022;Moi;
Provence;Cotes de Provence;Pampelonne;;2020;1;75cl;D;9;Rose;Tranquille;;;3;2022;Moi;
Provence;Cotes de Provence;Chateau Sainte Croix;Charmeur;2020;4;75cl;D;8;Rose;Tranquille;;Apero/Entree;4;2022;Moi;
Provence;Cotes de Provence;Chateau Sainte Croix;Infini;2020;1;75cl;D;9;Rose;Tranquille;;Apero/Entree;4;2022;Moi;
Provence;Cotes de Provence;Chateau Sainte Croix;Reserve des Anges;2020;5;75cl;D;8;Rose;Tranquille;;Poisson;4;2022;Moi;vieilli en fût
Provence;Cotes de Provence;Chateau Sainte Croix;Laurent GERRA;2020;1;75cl;D;9;Rose;Tranquille;;Apero;5;2022;Moi;
Loire;Pinot Gris;Rochanvigne;;2020;3;75cl;E;9;Blanc;Tranquille;Pinot Gris;Apero;4;2023;Moi;
Loire;Pinot Gris;Rochanvigne;;2020;6;75cl;E;9;Blanc;Tranquille;Pinot Gris;Apero;4;2023;Moi;sans etiquettes / Mariage
Loire;;Rochanvigne;Mythic;2018;1;75cl;E;8;Blanc;Moelleux;;;3;2023;Moi;
Loire;;Rochanvigne;Mythic;2021;2;75cl;E;8;Blanc;Moelleux;;;3;2025;Moi;
Loire;;Rochanvigne;La Demoiselle aux yeux d'or;2021;3;75cl;E;8;Blanc;Tranquille;;Entree;3;2023;Moi;
Loire;Muscadet;;;2020;3;75cl;E;7;Blanc;Tranquille;;Coquillages;3;2022;Francis;
Loire;Chenin;Le canal de Monsieur;;2016;1;75cl;E;12;Blanc;Tranquille;Chenin;Poisson;4;2023;Francis;
Loire;Viognier;Epiard;;2018;5;75cl;E;12;Blanc;Tranquille;Viognier;Apero/Entree;3;2023;Moi;
Loire;Chardonnay;Epiard;Vendange doree;2019;2;75cl;E;11;Blanc;Tranquille;Chardonnay;Apero;3;2023;Moi;
Loire;Chardonnay;Domaine Mourat;OVNI;?;3;75cl;E;11;Blanc;Tranquille;Chardonnay;Apero;3;2023;Moi;
Loire;Chenin;Domaine Mourat;;2015;1;75cl;E;12;Blanc;Tranquille;Chenin;;2;;;
Loire;Savenieres;;;2002;1;75cl;E;12;Blanc;Tranquille;Chenin;Poisson;3;2023;Cadeau;
Languedoc-Roussillon;Limoux;Prat Moulis;;2017;2;75cl;E;10;Blanc;Tranquille;Chardonnay;Apero;4;;Super U;
Languedoc-Roussillon;Limoux;Prat Moulis;;2018;3;75cl;E;10;Blanc;Tranquille;Chardonnay;Apero;4;;Super U;
Provence;Chardonnay;Chateau Sainte Croix;;2020;1;75cl;E;10;Blanc;Tranquille;Chardonnay;Apero;3;2023;Moi;
Bourgogne;Chablis 1er cru;domaine st Antoine;montmains;2018;2;75cl;E;6;Blanc;Tranquille;;;3;2023;Moi;
Bourgogne;Chablis;;;2009;1;75cl;E;6;Blanc;Tranquille;;;2;;Francis;
Bourgogne;Chablis;;;2010;1;75cl;E;6;Blanc;Tranquille;;;2;;Francis;
Bourgogne;Marsannay;;;2018;1;75cl;E;6;Blanc;Tranquille;;;3;2023;Moi;
Bourgogne;Pouilly Fuisse;;;2018;1;75cl;E;6;Blanc;Tranquille;;;3;2023;Moi;
Bourgogne;Aligote;;;2018;1;75cl;E;6;Blanc;Tranquille;Aligote;;3;2023;Moi;
Bourgogne;Meursault;;;2011;1;75cl;E;6;Blanc;Tranquille;;;4;2023;;sans etiquette
Bourgogne;Macon Village;Domaine de la Croix Salain;;2017;3;75cl;E;10;Blanc;Tranquille;Chardonnay;Apero;2;2023;Moi;
Loire;Quincy;;;2017;1;75cl;E;5;Blanc;Tranquille;;;3;2023;Cadeau;
Sud Ouest;Bergerac;;;2018;1;75cl;E;5;Blanc;Tranquille;;;4;2023;Moi;
Sud Ouest;Irouleguy;;;2016;1;75cl;E;5;Blanc;Tranquille;;;3;2023;Moi;
Espagne;Basque;;;2017;2;75cl;;;Blanc;Tranquille;;;3;2023;Moi;
Alsace;Riesling;;;2010;2;75cl;E;1;Blanc;Tranquille;Riesling;Apero;3;;Moi;
Alsace;Riesling;;;2011;1;75cl;E;2;Blanc;Tranquille;Riesling;Apero;3;;Moi;
Alsace;Riesling;;;2012;2;75cl;E;2;Blanc;Tranquille;Riesling;Apero;3;;Moi;
Alsace;Riesling;;;2015;1;75cl;E;2;Blanc;Tranquille;Riesling;Apero;3;;Moi;
Alsace;Gewurstraminer;;;2018;1;75cl;E;3;Blanc;Tranquille;Gewurstraminer;Apero;3;;Moi;Marche de Strasbourg
Alsace;Pinot Gris;;;2008;2;75cl;E;3;Blanc;Tranquille;Pinot Gris;Apero;3;;Moi;
